Date,Firm,To Grade,From Grade,Action,stock_symbol
2012-06-22 07:56:00,Nomura,Buy,,init,FB
2012-06-27 05:39:00,JP Morgan,Overweight,,init,FB
2012-06-27 05:41:00,Bank of America,Neutral,,init,FB
2012-06-27 05:44:00,Citigroup,Neutral,,init,FB
2012-06-27 05:58:00,Credit Suisse,Neutral,,init,FB
2012-06-27 06:41:00,Barclays,Equal-Weight,,init,FB
2012-06-27 06:50:00,RBC Capital,Outperform,,init,FB
2012-06-27 07:27:00,Raymond James,Market Perform,,init,FB
2012-06-27 09:40:00,Cowen & Co.,Neutral,,init,FB
2012-06-27 10:04:00,Pacific Crest,Sector Perform,,init,FB
2012-06-29 06:50:00,Macquarie,Neutral,,init,FB
2012-07-27 08:35:00,Wedbush,Outperform,,main,FB
2012-07-27 08:55:00,Sterne Agee,Buy,,main,FB
2012-07-31 06:51:00,Bernstein,Market Perform,Underperform,up,FB
2012-08-01 14:18:00,Topeka,Buy,,main,FB
2012-08-09 13:15:00,Ascendiant Capital,Buy,,main,FB
2012-08-20 08:01:00,Capstone,Buy,Hold,up,FB
2012-08-31 06:42:00,Bank of America,Neutral,,main,FB
2012-09-04 07:02:00,JP Morgan,Overweight,,main,FB
2012-09-04 16:10:00,Jefferies,Buy,,init,FB
2012-09-07 12:55:00,Barclays,Equal-Weight,,main,FB
2012-09-21 06:12:00,Deutsche Bank,Hold,,init,FB
2012-09-21 06:28:00,Cantor Fitzgerald,Buy,,init,FB
2012-09-24 08:41:00,Goldman Sachs,Buy,,main,FB
2012-09-24 09:29:00,Pivotal Research,Buy,,main,FB
2012-10-05 10:36:00,JP Morgan,Overweight,,main,FB
2012-10-08 08:40:00,BTIG Research,Sell,Neutral,down,FB
2012-10-16 07:46:00,Nomura,Buy,,main,FB
2012-10-18 08:52:00,Sterne Agee,Buy,,main,FB
2012-10-24 05:51:00,Citigroup,Buy,Neutral,up,FB
2012-10-24 06:39:00,Bank of America,Buy,Neutral,up,FB
2012-10-24 07:26:00,Jefferies,Buy,,main,FB
2012-10-24 07:30:00,Deutsche Bank,Hold,,main,FB
2012-10-24 08:13:00,Stifel Nicolaus,Buy,Hold,up,FB
2012-10-24 09:03:00,Goldman Sachs,Buy,,main,FB
2012-10-24 12:27:00,Barclays,Equal-Weight,,main,FB
2012-10-26 11:29:00,Macquarie,Outperform,Neutral,up,FB
2012-11-19 08:49:00,PiperJaffray,Overweight,,main,FB
2012-11-26 07:52:00,Bernstein,Outperform,Market Perform,up,FB
2012-11-26 09:08:00,BTIG Research,Neutral,Sell,up,FB
2012-11-26 11:13:00,Topeka,Buy,,main,FB
2012-11-27 12:16:00,Nomura,Buy,,main,FB
2012-12-19 07:47:38,Cantor Fitzgerald,Buy,,main,FB
2012-12-31 07:54:50,BMO Capital,Outperform,Underperform,up,FB
2012-12-31 08:27:16,Stifel Nicolaus,Buy,,main,FB
2013-01-02 08:09:50,JP Morgan,Overweight,,main,FB
2013-01-02 09:20:51,Morgan Stanley,Overweight,,main,FB
2013-01-07 09:28:51,Pivotal Research,Hold,Buy,down,FB
2013-01-14 06:40:08,Deutsche Bank,Buy,Hold,up,FB
2013-01-14 10:11:31,Oppenheimer,Outperform,,main,FB
2013-01-16 09:18:08,Goldman Sachs,Buy,,main,FB
2013-01-22 09:42:50,Topeka,Buy,,main,FB
2013-01-28 08:06:24,Raymond James,Outperform,Market Perform,up,FB
2013-01-29 07:42:25,Credit Suisse,Neutral,,main,FB
2013-01-31 06:44:02,Citigroup,Neutral,Buy,down,FB
2013-01-31 07:44:24,Jefferies,Hold,Buy,down,FB
2013-01-31 08:00:02,BMO Capital,Market Perform,Outperform,down,FB
2013-01-31 08:14:09,Stifel,Hold,Buy,down,FB
2013-01-31 08:25:57,Stifel Nicolaus,Hold,Buy,down,FB
2013-01-31 11:51:18,Pivotal Research,Buy,Hold,up,FB
2013-02-11 16:22:56,Bernstein,Market Perform,Outperform,down,FB
2013-02-12 11:20:40,BTIG Research,Sell,Neutral,down,FB
2013-02-19 10:35:42,Global Equities Research,Equal-Weight,,main,FB
2013-03-19 08:11:05,JMP Securities,Market Perform,,init,FB
2013-04-03 15:21:51,Tigress Financial,Buy,,init,FB
2013-04-05 06:20:08,Oracle Investment Research,Strong Buy,,init,FB
2013-04-05 07:44:38,Argus Capital,Buy,Hold,up,FB
2013-04-26 07:40:15,Raymond James,Strong Buy,,up,FB
2013-05-30 06:19:50,Jefferies,Buy,Hold,up,FB
2013-05-30 07:52:59,BMO Capital,Outperform,Market Perform,up,FB
2013-06-10 07:52:38,Stifel Nicolaus,Buy,Hold,up,FB
2013-06-21 07:26:30,UBS,Buy,Neutral,up,FB
2013-07-10 16:29:10,Susquehanna,Neutral,,init,FB
2013-07-16 07:55:11,SunTrust Robinson Humphrey,Buy,,init,FB
2013-07-25 06:35:12,BTIG Research,Neutral,Sell,up,FB
2013-07-25 07:00:00,JMP Securities,Outperform,Market Perform,up,FB
2013-07-25 08:10:01,Credit Suisse,Neutral,,main,FB
2013-07-25 08:33:14,CLSA,Buy,,main,FB
2013-07-25 08:37:31,Barclays,Equal-Weight,,main,FB
2013-07-25 09:13:15,UBS,Buy,,main,FB
2013-07-25 09:26:29,Evercore Partners,Overweight,Equal-Weight,up,FB
2013-07-25 14:27:42,Pivotal Research,Buy,,main,FB
2013-07-25 14:27:54,Susquehanna,Neutral,,main,FB
2013-07-25 14:28:41,Cowen & Co.,Market Perform,,main,FB
2013-07-25 14:31:20,Oppenheimer,Outperform,,main,FB
2013-07-25 14:31:32,Macquarie,Outperform,,main,FB
2013-07-25 14:31:44,Stifel Nicolaus,Buy,,main,FB
2013-07-25 14:32:41,Raymond James,Strong Buy,,main,FB
2013-07-25 14:32:59,Wedbush,Outperform,,main,FB
2013-07-25 14:33:27,Needham,Buy,,main,FB
2013-07-25 14:33:46,Jefferies,Buy,,main,FB
2013-07-25 14:34:05,JP Morgan,Overweight,,main,FB
2013-07-25 14:34:31,RBC Capital,Outperform,,main,FB
2013-07-25 14:34:47,Goldman Sachs,Buy,,main,FB
2013-07-25 14:35:11,BMO Capital,Outperform,,main,FB
2013-08-05 07:11:54,PiperJaffray,Overweight,,main,FB
2013-08-19 09:41:15,Evercore Partners,Overweight,,main,FB
2013-08-20 07:38:53,Janney Capital,Buy,,init,FB
2013-08-30 07:48:35,Stifel Nicolaus,Buy,,main,FB
2013-09-05 10:46:59,Pivotal Research,Buy,,main,FB
2013-09-05 11:40:02,Oracle Investment Research,Hold,Strong Buy,down,FB
2013-09-06 06:44:58,SunTrust Robinson Humphrey,Buy,,main,FB
2013-09-12 07:58:13,JP Morgan,Overweight,,main,FB
2013-09-12 08:04:53,JP Morgan,Overweight,,main,FB
2013-09-18 11:12:14,Wedbush,Outperform,,main,FB
2013-09-19 07:00:00,CRT Capital,Buy,,init,FB
2013-09-20 06:54:45,Cowen & Co.,Outperform,Market Perform,up,FB
2013-09-24 06:45:07,Citigroup,Buy,Neutral,up,FB
2013-09-25 06:26:15,Canaccord Genuity,Buy,,init,FB
2013-09-25 08:34:57,Oppenheimer,Outperform,,main,FB
2013-09-26 06:24:44,Jefferies,Buy,,main,FB
2013-09-27 07:03:22,Deutsche Bank,Buy,,main,FB
